date,currency_code,rate,units
2024.03.17,THB,1.05901,1
2024.03.17,AED,10.3594,1
2024.03.17,TND,12.1956,1
2024.03.17,UZS,0.0030447,1
2024.03.17,TWD,1.20401,1
2024.03.17,TMT,10.8712,1
2024.03.17,RSD,0.3516,1
2024.03.17,TJS,3.4733,1
2024.03.17,GEL,14.3241,1
2024.03.17,BRL,7.6217,1
2024.03.17,XAU,83689.67,1
2024.03.17,XAG,966.81,1
2024.03.17,XPT,36139.51,1
2024.03.17,XPD,41651.41,1
2024.03.18,AUD,25.4701,1
2024.03.18,CAD,28.6747,1
2024.03.18,CNY,5.3918,1
2024.03.18,CZK,1.6792,1
2024.03.18,DKK,5.665,1
2024.03.18,HKD,4.9603,1
2024.03.18,HUF,0.107425,10
2024.03.18,INR,0.46808,1
2024.03.18,IDR,0.0024875,1
2024.03.18,ILS,10.6199,1
2024.03.18,JPY,0.26075,10
2024.03.18,KZT,0.086241,100
2024.03.18,KRW,0.029184,1
2024.03.18,MXN,2.3229,1
2024.03.18,MDL,2.1927,1
2024.03.18,NZD,23.6562,1
2024.03.18,NOK,3.6662,1
2024.03.18,RUB,0.42119,1
2024.03.18,SGD,29.0157,1
2024.03.18,ZAR,2.0754,1
2024.03.18,SEK,3.7482,1
2024.03.18,CHF,43.9608,1
2024.03.18,EGP,0.8117,1
2024.03.18,GBP,49.462,1
2024.03.18,USD,38.7998,1
2024.03.18,BYN,14.1029,1
2024.03.18,AZN,22.8382,1
2024.03.18,RON,8.4985,1
2024.03.18,TRY,1.2043,1
2024.03.18,XDR,51.657,1
2024.03.18,BGN,21.5998,1
2024.03.18,EUR,42.2452,1
2024.03.18,PLN,9.8339,1
2024.03.18,DZD,0.28321,1
2024.03.18,BDT,0.3459,1
2024.03.18,AMD,0.094144,1
2024.03.18,DOP,0.65004,1
2024.03.18,IRR,0.00090593,1
2024.03.18,IQD,0.029045,1
2024.03.18,KGS,0.42551,1
2024.03.18,LBP,0.000425,1
2024.03.18,LYD,7.8762,1
2024.03.18,MYR,8.022,1
2024.03.18,MAD,3.7715,1
2024.03.18,PKR,0.13675,1
2024.03.18,SAR,10.1456,1
2024.03.18,VND,0.0015437,1
